match_id,group,home_team,away_team,date,venue
1,A,Mexico,South Africa,2026-06-11,Azteca
2,A,South Korea,UEFA Playoff D,2026-06-12,"Estadio Akron, Guadalajara"
3,B,Canada,UEFA Playoff A,2026-06-12,"BMO Field, Toronto"
4,D,USA,Paraguay,2026-06-13,"SoFi Stadium, Los Angeles"
5,D,Australia,UEFA Playoff C,2026-06-13,"BC Place, Vancouver"
6,B,Qatar,Switzerland,2026-06-13,"Levi's Stadium, Santa Clara"
7,C,Brazil,Morocco,2026-06-13,"MetLife Stadium, East Rutherford"
8,C,Haiti,Scotland,2026-06-14,"Gillette Stadium, Boston"
9,E,Germany,Curaçao,2026-06-14,"NRG Stadium, Houston"
10,F,Netherlands,Japan,2026-06-14,"AT&T Stadium, Dallas"
11,E,Côte d'Ivoire,Ecuador,2026-06-14,"Lincoln Financial Field, Philadelphia"
12,F,UEFA Playoff B,Tunisia,2026-06-15,"Estadio BBVA, Monterrey"
13,H,Spain,Cabo Verde,2026-06-15,"Mercedes-Benz Stadium, Atlanta"
14,G,Belgium,Egypt,2026-06-15,"Lumen Field, Seattle"
15,H,Saudi Arabia,Uruguay,2026-06-15,"Hard Rock Stadium, Miami"
16,G,Iran,New Zealand,2026-06-16,"SoFi Stadium, Los Angeles"
17,J,Austria,Jordan,2026-06-16,"Levi's Stadium, Santa Clara"
18,I,France,Senegal,2026-06-16,"MetLife Stadium, East Rutherford"
19,I,FIFA Playoff 2,Norway,2026-06-16,"Gillette Stadium, Boston"
20,J,Argentina,Algeria,2026-06-17,"GEHA Field at Arrowhead Stadium, Kansas City"
21,K,Portugal,FIFA Playoff 1,2026-06-17,"NRG Stadium, Houston"
22,L,England,Croatia,2026-06-17,"AT&T Stadium, Dallas"
23,L,Ghana,Panama,2026-06-17,"BMO Field, Toronto"
24,K,Uzbekistan,Colombia,2026-06-18,"Estadio Azteca, Mexico City"
25,A,UEFA Playoff D,South Africa,2026-06-18,"Mercedes-Benz Stadium, Atlanta"
26,B,Switzerland,UEFA Playoff A,2026-06-18,"SoFi Stadium, Los Angeles"
27,B,Canada,Qatar,2026-06-18,"BC Place, Vancouver"
28,A,Mexico,South Korea,2026-06-19,"Estadio Akron, Guadalajara"
29,D,UEFA Playoff C,Paraguay,2026-06-19,"Levi's Stadium, Santa Clara"
30,D,USA,Australia,2026-06-19,"Lumen Field, Seattle"
31,C,Scotland,Morocco,2026-06-19,"Gillette Stadium, Boston"
32,C,Brazil,Haiti,2026-06-20,"Lincoln Financial Field, Philadelphia"
33,F,Tunisia,Japan,2026-06-20,"Estadio BBVA, Monterrey"
34,F,Netherlands,UEFA Playoff B,2026-06-20,"NRG Stadium, Houston"
35,E,Germany,Côte d'Ivoire,2026-06-20,"BMO Field, Toronto"
36,E,Ecuador,Curaçao,2026-06-21,"GEHA Field at Arrowhead Stadium, Kansas City"
37,H,Spain,Saudi Arabia,2026-06-21,"Mercedes-Benz Stadium, Atlanta"
38,G,Belgium,Iran,2026-06-21,"SoFi Stadium, Los Angeles"
39,H,Uruguay,Cabo Verde,2026-06-21,"Hard Rock Stadium, Miami"
40,G,New Zealand,Egypt,2026-06-22,"BC Place, Vancouver"
41,J,Argentina,Austria,2026-06-22,"AT&T Stadium, Dallas"
42,I,France,FIFA Playoff 2,2026-06-22,"Lincoln Financial Field, Philadelphia"
43,I,Norway,Senegal,2026-06-23,"MetLife Stadium, East Rutherford"
44,J,Jordan,Algeria,2026-06-23,"Levi's Stadium, Santa Clara"
45,K,Portugal,Uzbekistan,2026-06-23,"NRG Stadium, Houston"
46,L,England,Ghana,2026-06-23,"Gillette Stadium, Boston"
47,L,Panama,Croatia,2026-06-23,"BMO Field, Toronto"
48,K,Colombia,FIFA Playoff 1,2026-06-24,"Estadio Akron, Guadalajara"
49,B,Switzerland,Canada,2026-06-24,"BC Place, Vancouver"
50,B,UEFA Playoff A,Qatar,2026-06-24,"Lumen Field, Seattle"
51,C,Scotland,Brazil,2026-06-24,"Hard Rock Stadium, Miami"
52,C,Morocco,Haiti,2026-06-24,"Mercedes-Benz Stadium, Atlanta"
53,A,UEFA Playoff D,Mexico,2026-06-25,"Estadio Azteca, Mexico City"
54,A,South Africa,South Korea,2026-06-25,"Estadio BBVA, Monterrey"
55,E,Curaçao,Côte d'Ivoire,2026-06-25,"Lincoln Financial Field, Philadelphia"
56,E,Ecuador,Germany,2026-06-25,"MetLife Stadium, East Rutherford"
57,F,Japan,UEFA Playoff B,2026-06-25,"AT&T Stadium, Dallas"
58,F,Tunisia,Netherlands,2026-06-25,"GEHA Field at Arrowhead Stadium, Kansas City"
59,D,USA,UEFA Playoff C,2026-06-26,"SoFi Stadium, Los Angeles"
60,D,Paraguay,Australia,2026-06-26,"Levi's Stadium, Santa Clara"
61,I,Norway,France,2026-06-26,"Gillette Stadium, Boston"
62,I,Senegal,FIFA Playoff 2,2026-06-26,"BMO Field, Toronto"
63,H,Cabo Verde,Saudi Arabia,2026-06-27,"NRG Stadium, Houston"
